iteration,Method,Classifier,Metric,Mean
2,Median,XGBoost,accuracy,0.5470545847595026
2,Median,XGBoost,f1,0.5320301362099471
2,KNN (k=5),LogisticRegression,accuracy,0.6521107307992553
2,KNN (k=5),LogisticRegression,f1,0.6351910592934988
2,KNN (k=5),RandomForest,accuracy,0.6849276406653456
2,KNN (k=5),RandomForest,f1,0.6642834315383407
2,KNN (k=5),XGBoost,accuracy,0.6761664564943255
2,KNN (k=5),XGBoost,f1,0.6620746668571729
2,KNN (k=10),LogisticRegression,accuracy,0.6444364378790608
2,KNN (k=10),LogisticRegression,f1,0.6260773283105362
2,KNN (k=10),RandomForest,accuracy,0.6914790127904882
2,KNN (k=10),RandomForest,f1,0.6713817045124937
2,KNN (k=10),XGBoost,accuracy,0.669609079445145
2,KNN (k=10),XGBoost,f1,0.6554404704164876
2,MissForest,LogisticRegression,accuracy,0.6149102263856363
2,MissForest,LogisticRegression,f1,0.5968042614911353
2,MissForest,RandomForest,accuracy,0.6225424848375668
2,MissForest,RandomForest,f1,0.606842036567935
2,MissForest,XGBoost,accuracy,0.6334894613583139
2,MissForest,XGBoost,f1,0.6184796119801204
2,MICE,LogisticRegression,accuracy,0.5886326787966133
2,MICE,LogisticRegression,f1,0.5700917000903994
2,MICE,RandomForest,accuracy,0.6126643847955324
2,MICE,RandomForest,f1,0.5881699824330571
2,MICE,XGBoost,accuracy,0.5667267159070437
2,MICE,XGBoost,f1,0.5485617383613908
3,No Handling,LogisticRegression,accuracy,0.4469696969696969
3,No Handling,LogisticRegression,f1,0.4071744227994228
3,No Handling,RandomForest,accuracy,0.6003787878787878
3,No Handling,RandomForest,f1,0.5480970418470418
3,No Handling,XGBoost,accuracy,0.6003787878787878
3,No Handling,XGBoost,f1,0.5648175477720931
3,XGBoost Native,XGBoost,accuracy,0.579871494625593
3,XGBoost Native,XGBoost,f1,0.5653602015267102
3,Mean,LogisticRegression,accuracy,0.5755059148501771
3,Mean,LogisticRegression,f1,0.5548200445751257
3,Mean,RandomForest,accuracy,0.6170900138113253
3,Mean,RandomForest,f1,0.5920933889577795
3,Mean,XGBoost,accuracy,0.5722152164775116
3,Mean,XGBoost,f1,0.5591272516504939
3,Median,LogisticRegression,accuracy,0.5809944154206449
3,Median,LogisticRegression,f1,0.5590922367689676
3,Median,RandomForest,accuracy,0.6050321263436017
3,Median,RandomForest,f1,0.5857426292116449
3,Median,XGBoost,accuracy,0.5667387257551191
3,Median,XGBoost,f1,0.5512355137719285
3,KNN (k=5),LogisticRegression,accuracy,0.62256049960968
3,KNN (k=5),LogisticRegression,f1,0.6049294872698937
3,KNN (k=5),RandomForest,accuracy,0.6389839668528192
3,KNN (k=5),RandomForest,f1,0.6197090077249786
3,KNN (k=5),XGBoost,accuracy,0.613793310514622
3,KNN (k=5),XGBoost,f1,0.6013035288610495
3,KNN (k=10),LogisticRegression,accuracy,0.6236594007085811
3,KNN (k=10),LogisticRegression,f1,0.6038613455686059
3,KNN (k=10),RandomForest,accuracy,0.6685281931183571
3,KNN (k=10),RandomForest,f1,0.647876540123974
3,KNN (k=10),XGBoost,accuracy,0.6455353389779619
3,KNN (k=10),XGBoost,f1,0.6304149931082603
3,MissForest,LogisticRegression,accuracy,0.6138053203626974
3,MissForest,LogisticRegression,f1,0.59551763749142
3,MissForest,RandomForest,accuracy,0.6356872635561159
3,MissForest,RandomForest,f1,0.6161196248848142
3,MissForest,XGBoost,accuracy,0.6258331832102324
3,MissForest,XGBoost,f1,0.6108857117119397
3,MICE,LogisticRegression,accuracy,0.5995916651654356
3,MICE,LogisticRegression,f1,0.579320827309985
