iteration,Method,Classifier,Metric,Mean
2,KNN (k=10),RandomForest,f1,0.5500446730652438
2,KNN (k=10),XGBoost,accuracy,0.5516271373414231
2,KNN (k=10),XGBoost,f1,0.5338960690989305
2,MissForest,LogisticRegression,accuracy,0.6303916161059019
2,MissForest,LogisticRegression,f1,0.6080075924674707
2,MissForest,RandomForest,accuracy,0.6671355028497885
2,MissForest,RandomForest,f1,0.6465236836549534
2,MissForest,XGBoost,accuracy,0.6603695532266961
2,MissForest,XGBoost,f1,0.649371781028395
2,MICE,LogisticRegression,accuracy,0.5991910277624564
2,MICE,LogisticRegression,f1,0.5678428178397383
2,MICE,RandomForest,accuracy,0.5882699025556168
2,MICE,RandomForest,f1,0.5617305833484694
2,MICE,XGBoost,accuracy,0.58284611141754
2,MICE,XGBoost,f1,0.5705756276490481
3,No Handling,LogisticRegression,accuracy,0.5857254901960784
3,No Handling,LogisticRegression,f1,0.5512497466165023
3,No Handling,RandomForest,accuracy,0.5381176470588236
3,No Handling,RandomForest,f1,0.4842970721158995
3,No Handling,XGBoost,accuracy,0.5101176470588236
3,No Handling,XGBoost,f1,0.4898891741079422
3,XGBoost Native,XGBoost,accuracy,0.5475363118220261
3,XGBoost Native,XGBoost,f1,0.5249999929200033
3,Mean,LogisticRegression,accuracy,0.5923974995403567
3,Mean,LogisticRegression,f1,0.5599847015502581
3,Mean,RandomForest,accuracy,0.5787920573634859
3,Mean,RandomForest,f1,0.5452171344804874
3,Mean,XGBoost,accuracy,0.5448060305203162
3,Mean,XGBoost,f1,0.5255572201052653
3,Median,LogisticRegression,accuracy,0.5828828828828828
3,Median,LogisticRegression,f1,0.5501912979039657
3,Median,RandomForest,accuracy,0.577523441809156
3,Median,RandomForest,f1,0.5525267490556132
3,Median,XGBoost,accuracy,0.5434638720353007
3,Median,XGBoost,f1,0.5278565788741306
3,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
3,KNN (k=5),LogisticRegression,f1,0.5543937249560231
3,KNN (k=5),RandomForest,accuracy,0.5570325427468285
3,KNN (k=5),RandomForest,f1,0.527567600961506
3,KNN (k=5),XGBoost,accuracy,0.5596800882515168
3,KNN (k=5),XGBoost,f1,0.5376376825475266
3,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
3,KNN (k=10),LogisticRegression,f1,0.5573951712063532
3,KNN (k=10),RandomForest,accuracy,0.577422320279463
3,KNN (k=10),RandomForest,f1,0.5500446730652438
